date,actual,forecast
2010-01-01,5444365.0,
2010-02-01,5463579.766320989,
2010-03-01,5465179.73597701,
2010-04-01,5595331.57991197,
2010-05-01,5516501.885710272,
2010-06-01,5512263.678028105,
2010-07-01,5657701.1688268455,
2010-08-01,5694703.315169792,
2010-09-01,5275158.468214737,
2010-10-01,5730948.297897949,
2010-11-01,5559546.584605856,
2010-12-01,5682739.548046111,
2011-01-01,5779011.554149411,
2011-02-01,5769291.822766979,
2011-03-01,5797899.560349933,
2011-04-01,5868754.670612574,
2011-05-01,6307700.848274038,
2011-06-01,6170224.893217033,
2011-07-01,5765718.973869363,
2011-08-01,5754595.346482985,
2011-09-01,5880486.314862968,
2011-10-01,5265724.545177649,
2011-11-01,5735096.197590605,
2011-12-01,5758092.316862043,
2012-01-01,5766533.551878124,
2012-02-01,5649820.768960634,
2012-03-01,5828067.841216703,
2012-04-01,5860976.378890134,
2012-05-01,5829549.933302664,
2012-06-01,5852635.737820264,
2012-07-01,5855176.546351615,
2012-08-01,5915317.321194717,
2012-09-01,5841974.818210414,
2012-10-01,5999356.536360198,
2012-11-01,5491314.719588272,
2012-12-01,5982702.698265744,
2013-01-01,5678656.486178231,
2013-02-01,6419287.86229113,
2013-03-01,5530730.948036049,
2013-04-01,5714976.833078485,
2013-05-01,6068517.351354901,
2013-06-01,6323488.506889829,
2013-07-01,6234868.793055721,
2013-08-01,6126215.061421672,
2013-09-01,6175050.390474557,
2013-10-01,6245713.387832757,
2013-11-01,6188339.8256073445,
2013-12-01,5771837.362194289,
2014-01-01,6401920.38691387,
2014-02-01,6416008.265074685,
2014-03-01,7089688.806154783,
2014-04-01,7166725.804632701,
2014-05-01,6400939.453931123,
2014-06-01,6436366.801393443,
2014-07-01,6098982.916647336,
2014-08-01,6037060.145893196,
2014-09-01,6362284.761542936,
2014-10-01,6442161.3891733615,
2014-11-01,6447835.878796167,
2014-12-01,6410215.367196053,
2015-01-01,6037739.5628893515,
2015-02-01,6366507.681092458,
2015-03-01,6431406.486310782,
2015-04-01,5845997.798356202,
2015-05-01,6896305.735907653,
2015-06-01,6444832.230170981,
2015-07-01,6409496.514345193,
2015-08-01,6458081.677054219,
2015-09-01,6442271.902867764,
2015-10-01,6433713.582378572,
2015-11-01,6495238.988482887,
2015-12-01,6555570.677729899,
2016-01-01,6303106.9318315,
2016-02-01,6041397.477793466,
2016-03-01,6270763.080433721,
2016-04-01,6548192.666040235,
2016-05-01,6354168.453250995,
2016-06-01,6723119.106682545,
2016-07-01,6600251.629401571,
2016-08-01,6421686.843740736,
2016-09-01,6512512.474768576,
2016-10-01,6529112.977016198,
2016-11-01,6455556.325178974,
2016-12-01,6467084.897224602,
2017-01-01,6548391.270782514,
2017-02-01,6503496.862250979,
2017-03-01,5947231.471545746,
2017-04-01,6603902.697,
2017-05-01,6496743.493000001,
2017-06-01,6482053.734825901,
2017-07-01,6534809.896000001,
2017-08-01,6517457.994,
2017-09-01,6515241.342,6532523.3226156635
2017-10-01,6485307.416999999,6552515.467494269
2017-11-01,6504212.331,6561340.328691748
2017-12-01,6534835.324999998,6584992.000792832
2018-01-01,6305882.584000001,6436202.534647811
2018-02-01,6515486.952,6324434.810221929
2018-03-01,6621179.4629999995,6319306.370188347
2018-04-01,6205183.0,6586450.903360341
2018-05-01,6703177.0,6561714.53918665
2018-06-01,6678502.0,6708869.999499209
2018-07-01,6845440.0,6640209.49410271
2018-08-01,6263105.0,6539561.0625346005
2018-09-01,6478418.0,6601961.25109404
2018-10-01,6469501.0,6618522.514963485
2018-11-01,6505528.0,6586937.406519181
2018-12-01,6512946.0,6604541.368512132
2019-01-01,6445911.0,6569498.388536071
2019-02-01,6444475.0,6490784.494311931
2019-03-01,6397323.0,6213228.627949165
2019-04-01,6374255.0,6672916.673572485
2019-05-01,6034487.0,6607438.598678076
2019-06-01,6519447.0,6674593.748366264
2019-07-01,6371289.0,6665949.664656729
2019-08-01,5619015.0,6606474.819489288
2019-09-01,,6645477.323204807
2019-10-01,,6663734.476163958
2019-11-01,,6652124.069995267
2019-12-01,,6672717.423218304
2020-01-01,,6581449.402337041
2020-02-01,,6486396.95544406
2020-03-01,,6343502.331858568
2020-04-01,,6708015.860639861
2020-05-01,,6662676.468081696
2020-06-01,,6769375.878773284
2020-07-01,,6731065.597205807
2020-08-01,,6651238.592973398
2020-09-01,,6701806.603736603
2020-10-01,,6719225.47644068
2020-11-01,,6697741.548105796
2020-12-01,,6716857.241228251
2021-01-01,,6653381.333591668
2021-02-01,,6566405.055229932
2021-03-01,,6356947.198453638
2021-04-01,,6768505.618754728
2021-05-01,,6713211.648466131
2021-06-01,,6800364.277825239
2021-07-01,,6776718.0377085665
2021-08-01,,6706951.133040354
2021-09-01,,6751802.298134324
2021-10-01,,6769635.533894519
2021-11-01,,6753032.100829161
2021-12-01,,6772878.203324225
2022-01-01,,6695664.616778569
2022-02-01,,6604696.277463389
2022-03-01,,6428140.716265498
2022-04-01,,6816444.783494504
2022-05-01,,6766071.374349715
2022-06-01,,6862886.003978013
2022-07-01,,6831991.308474486
2022-08-01,,6757251.683078292
2022-09-01,,6804928.692665815
2022-10-01,,6822557.108210771
2022-11-01,,6803541.239777879
2022-12-01,,6823026.299938928
2023-01-01,,6752603.266531398
2023-02-01,,6663608.208307908
2023-03-01,,6470788.998209046
2023-04-01,,6870587.723398387
2023-05-01,,6817782.074270587
2023-06-01,,6909820.7641871795
2023-07-01,,6882508.989917985
2023-08-01,,6810227.387057324
2023-09-01,,6856507.577915821
2023-10-01,,6874237.236368298
2023-11-01,,6856413.837978122
2023-12-01,,6876077.361849852
2024-01-01,,6802297.74890462
2024-02-01,,6712327.295186864
2024-03-01,,6527547.228586175
2024-04-01,,6921664.128905328
2024-05-01,,6870060.739268278
2024-06-01,,6964460.182599728
2024-07-01,,6935377.3655515835
2024-08-01,,6861880.7588498285
2024-09-01,,6908851.399082383
2024-10-01,,6926531.013029677
2024-11-01,,6908118.1750955805
2024-12-01,,6927693.484115396
2025-01-01,,6855573.0329444315
2025-02-01,,6766084.718529709
2025-03-01,,6577330.892499156
2025-04-01,,6974256.326483852
2025-05-01,,6922058.658365569
2025-06-01,,7015291.1781129325
2025-07-01,,6987083.7898894055
2025-08-01,,6914187.761218377
2025-09-01,,6960817.111397877
2025-10-01,,6978521.462411306
2025-11-01,,6960399.985235544
2025-12-01,,6980018.898975157
